#filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
slm0234.jpg,7615,"{}",7,0,"{""name"":""point"",""cx"":7,""cy"":75}","{}"
slm0234.jpg,7615,"{}",7,1,"{""name"":""point"",""cx"":18,""cy"":59}","{}"
slm0234.jpg,7615,"{}",7,2,"{""name"":""point"",""cx"":33,""cy"":50}","{}"
slm0234.jpg,7615,"{}",7,3,"{""name"":""point"",""cx"":49,""cy"":43}","{}"
slm0234.jpg,7615,"{}",7,4,"{""name"":""point"",""cx"":18,""cy"":101}","{}"
slm0234.jpg,7615,"{}",7,5,"{""name"":""point"",""cx"":31,""cy"":106}","{}"
slm0234.jpg,7615,"{}",7,6,"{""name"":""point"",""cx"":45,""cy"":111}","{}"
slm0233.jpg,7615,"{}",7,0,"{""name"":""point"",""cx"":7,""cy"":76}","{}"
slm0233.jpg,7615,"{}",7,1,"{""name"":""point"",""cx"":14,""cy"":60}","{}"
slm0233.jpg,7615,"{}",7,2,"{""name"":""point"",""cx"":28,""cy"":53}","{}"
slm0233.jpg,7615,"{}",7,3,"{""name"":""point"",""cx"":47,""cy"":45}","{}"
slm0233.jpg,7615,"{}",7,4,"{""name"":""point"",""cx"":17,""cy"":100}","{}"
slm0233.jpg,7615,"{}",7,5,"{""name"":""point"",""cx"":30,""cy"":105}","{}"
slm0233.jpg,7615,"{}",7,6,"{""name"":""point"",""cx"":44,""cy"":111}","{}"
slm0232.jpg,7615,"{}",7,0,"{""name"":""point"",""cx"":7,""cy"":76}","{}"
slm0232.jpg,7615,"{}",7,1,"{""name"":""point"",""cx"":16,""cy"":59}","{}"
slm0232.jpg,7615,"{}",7,2,"{""name"":""point"",""cx"":27,""cy"":53}","{}"
slm0232.jpg,7615,"{}",7,3,"{""name"":""point"",""cx"":46,""cy"":44}","{}"
slm0232.jpg,7615,"{}",7,4,"{""name"":""point"",""cx"":16,""cy"":99}","{}"
slm0232.jpg,7615,"{}",7,5,"{""name"":""point"",""cx"":28,""cy"":105}","{}"
slm0232.jpg,7615,"{}",7,6,"{""name"":""point"",""cx"":43,""cy"":110}","{}"
slm0231.jpg,7615,"{}",7,0,"{""name"":""point"",""cx"":7,""cy"":74}","{}"
slm0231.jpg,7615,"{}",7,1,"{""name"":""point"",""cx"":16,""cy"":60}","{}"
slm0231.jpg,7615,"{}",7,2,"{""name"":""point"",""cx"":32,""cy"":54}","{}"
slm0231.jpg,7615,"{}",7,3,"{""name"":""point"",""cx"":49,""cy"":46}","{}"
slm0231.jpg,7615,"{}",7,4,"{""name"":""point"",""cx"":17,""cy"":100}","{}"
slm0231.jpg,7615,"{}",7,5,"{""name"":""point"",""cx"":28,""cy"":105}","{}"
slm0231.jpg,7615,"{}",7,6,"{""name"":""point"",""cx"":44,""cy"":112}","{}"
slm0230.jpg,7615,"{}",7,0,"{""name"":""point"",""cx"":6,""cy"":76}","{}"
slm0230.jpg,7615,"{}",7,1,"{""name"":""point"",""cx"":16,""cy"":59}","{}"
slm0230.jpg,7615,"{}",7,2,"{""name"":""point"",""cx"":30,""cy"":52}","{}"
slm0230.jpg,7615,"{}",7,3,"{""name"":""point"",""cx"":46,""cy"":44}","{}"
slm0230.jpg,7615,"{}",7,4,"{""name"":""point"",""cx"":18,""cy"":100}","{}"
slm0230.jpg,7615,"{}",7,5,"{""name"":""point"",""cx"":29,""cy"":105}","{}"
slm0230.jpg,7615,"{}",7,6,"{""name"":""point"",""cx"":44,""cy"":111}","{}"
slm0229.jpg,7615,"{}",7,0,"{""name"":""point"",""cx"":7,""cy"":79}","{}"
slm0229.jpg,7615,"{}",7,1,"{""name"":""point"",""cx"":17,""cy"":59}","{}"
slm0229.jpg,7615,"{}",7,2,"{""name"":""point"",""cx"":32,""cy"":51}","{}"
slm0229.jpg,7615,"{}",7,3,"{""name"":""point"",""cx"":48,""cy"":44}","{}"
slm0229.jpg,7615,"{}",7,4,"{""name"":""point"",""cx"":18,""cy"":100}","{}"
slm0229.jpg,7615,"{}",7,5,"{""name"":""point"",""cx"":31,""cy"":106}","{}"
slm0229.jpg,7615,"{}",7,6,"{""name"":""point"",""cx"":45,""cy"":112}","{}"
slm0228.jpg,7615,"{}",7,0,"{""name"":""point"",""cx"":8,""cy"":77}","{}"
slm0228.jpg,7615,"{}",7,1,"{""name"":""point"",""cx"":15,""cy"":60}","{}"
slm0228.jpg,7615,"{}",7,2,"{""name"":""point"",""cx"":30,""cy"":53}","{}"
slm0228.jpg,7615,"{}",7,3,"{""name"":""point"",""cx"":47,""cy"":43}","{}"
slm0228.jpg,7615,"{}",7,4,"{""name"":""point"",""cx"":16,""cy"":99}","{}"
slm0228.jpg,7615,"{}",7,5,"{""name"":""point"",""cx"":29,""cy"":105}","{}"
